Gladiolus italicus
Gynandriris sisyrinchium
Iris boissieri
Iris foetidissima
Iris planifolia
Iris pseudacorus
Iris subbiflora
Iris taitii
Iris xiphium var. xiphium
Romulea bulbocodium
Romulea clusiana
Romulea columnae subsp. columnae
Romulea ramiflora subsp. gaditana
Romulea ramiflora subsp. ramiflora
Anacamptis pyramidalis
Cephalanthera longifolia
Cephalanthera rubra
Dactylorhiza elata
Dactylorhiza incarnata
Dactylorhiza insularis
Dactylorhiza maculata
Dactylorhiza sulphurea
Epipactis fageticola
Epipactis helleborine subsp. helleborine
Epipactis lusitanica
Epipactis palustris
Epipactis tremolsii
Gennaria diphylla
Gymnadenia conopsea
Limodorum abortivum
Limodorum trabutianum
Neotinea maculata
Neottia nidus-avis
Ophrys apifera
Ophrys bombyliflora
Ophrys fusca subsp. bilunulata
Ophrys fusca subsp. dyris
Ophrys fusca subsp. fusca
Ophrys lutea
Ophrys scolopax
Ophrys speculum subsp. lusitanica
Ophrys speculum subsp. speculum
Ophrys sphegodes
Orchis italica
Orchis langei
Orchis mascula
Orchis papilionacea
Orchis provincialis
Platanthera bifolia
Serapias cordigera subsp. cordigera
Serapias lingua
Serapias parviflora
Serapias perez-chiscanoi
Serapias strictiflora
Spiranthes aestivalis
Spiranthes spiralis
Asphodelus aestivus
Asphodelus albus subsp. villarsii
Asphodelus fistulosus
Asphodelus lusitanicus var. ovoideus
Asphodelus macrocarpus subsp. macrocarpus
Asphodelus ramosus subsp. distalis
Asphodelus serotinus
Simethis mattiazzi
Pistacia lentiscus
Pistacia terebinthus
Ruta angustifolia
Ruta chalepensis
Ruta montana
Acer monspessulanum
Acer pseudoplatanus
Ammi majus
Ammi visnaga
Ammoides pusilla
Angelica major
Angelica pachycarpa
Angelica sylvestris
Anthriscus caucalis
Anthriscus sylvestris
Apium graveolens
Apium inundatum
Apium nodiflorum
Berula erecta
Bifora testiculata
Bunium bulbocastanum
Bunium macuca subsp. macuca
Bunium pachypodum
Bupleurum acutifolium
Bupleurum fruticosum
Bupleurum gerardi
Bupleurum lancifolium
Bupleurum rigidum subsp. paniculatum
Bupleurum rigidum subsp. rigidum
